Artist,Song,Genre,Song ID,Danceability,Energy,Speechiness,Acousticness,Instrumentalness,Valence,,
Declan Mckenna,Why Do You Feel So Down,indie pop,5Bge1Dsqjc14hhGguYML5w ,0.558,0.909,0.0406,0.0567,0,0.452,,
Declan Mckenna,Emily,modern rock,0nrjInsps8kxi3wEMv81GQ,0.556,0.663,0.0299,0.00648,0.0000819,0.306,,
Declan Mckenna,My House,modern rock,5kuSneVOTmvanncpK3RZcl,0.77,0.816,0.0536,0.719,0.000714,0.868,,
Del Water Gap,Let's Pretend,indie pop,7fL5dwdNVt2gZyCKl8AF1i,0.517,0.763,0.0349,0.268,0.00000133,0.387,,
Dr. Dog,Nellie,philly indie,1aRvUHgMe9ichgcHAAs12f,0.506,0.526,0.0285,0.334,0.000539,0.591,,
Dr. Dog,Where'd All the Time Go?,philly indie,0UV5zxRMz6AO4ZwUOZNIKI,0.454,0.82,0.0567,0.132,0.000969,0.575,,
Ella Fitzgerald and Louis Armstrong,Dream A Little Dream Of Me,jazz blues,78MI7mu1LV1k4IA2HzKmHe,0.443,0.104,0.101,0.913,0,0.394,,
Elliott Smith,Angeles,alternative rock,2uwN3PDudlRkAKE3wA0OqJ,0.53,0.0993,0.0549,0.86,0.2,0.588,,
Etta James,At Last,jazz blues,4Hhv2vrOTy89HFRcjU3QOx,0.274,0.348,0.0293,0.547,0.0133,0.328,,
Etta James,A Sunday Kind Of Love,jazz blues,0zGLlXbHlrAyBN1x6sY0rb,0.421,0.285,0.0293,0.829,0.00000155,0.402,,
Far Caspian,Finding My Way Home,leeds indie,5Rdh332wRhjgmrqhwFJXAQ,0.534,0.552,0.0299,0.0478,0.776,0.259,,
Fitz and The Tantrums,Out of My League,modern rock,2AYEOC02WLhUiOoaig2SEH,0.545,0.968,0.0853,0.0387,0.00325,0.527,,
Florence + The Machine,No Choir,uk alternative pop,47a7Hn4fFE4mHgVJF19CO1,0.401,0.292,0.154,0.919,0.00000332,0.299,,
Frances Forever,Space Girl,bedroom pop,7FjIYiD53wxlQmzTT6Wdpf,0.669,0.395,0.03,0.332,0.000196,0.196,,
Grouplove,Tongue Tied,la indie,0GO8y8jQk1PkHzS31d699N,0.56,0.936,0.0439,0.0087,0,0.371,,
Harry Styles,Canyon Moon,pop,5IhzJOXNE7ki0IIJbZbnGq,0.603,0.621,0.0267,0.328,0.0000349,0.7,,
Harry Styles,"Sunflower, Vol. 6",pop,6iYMfxznTBlcVOgRHab2W0,0.566,0.846,0.035,0.000564,0.00795,0.86,,
Harry Styles,Woman,pop,33bURv895AN4FkBvgFo2dx,0.624,0.647,0.0335,0.0169,0.0038,0.379,,
Harry Styles,Girl Crush,pop,4YutJsNwBBInE8vemufpQ8,0.468,0.197,0.033,0.658,0,0.249,,
Harry Styles,Meet Me in the Hallway,pop,4u9Y4Z9i9VaAbBK7rW1Rha,0.537,0.383,0.0247,0.747,0.00025,0.339,,
Harry Styles,Cherry,pop,2IOFZdYYkFxEHVz1w34PoL,0.53,0.512,0.0259,0.615,0.00453,0.411,,
Harry Styles,To Be So Lonely,pop,5JiH89mHrv9oWHlD0T326z,0.758,0.436,0.0418,0.618,0.0000161,0.605,,
Hippo Campus,Tuesday,modern rock,6jLF2AyiMm2mqHrILs1jr2,0.582,0.804,0.0365,0.39,0,0.528,,
Hippo Campus,Way it Goes,modern rock,6CES1554HcWMIVroJfmmBm,0.542,0.906,0.0491,0.021,0.00043,0.515,,
Hippo Campus,Honestly,modern rock,6MtIerVDZGoo78DJqT4HoJ,0.656,0.828,0.0504,0.000331,0.486,0.437,,
Hippo Campus,Ease Up Kid-Demo,modern rock,3Q6crokpbPGwumkQ2KBnVn,0.475,0.505,0.0285,0.592,0.00514,0.387,,
Hippo Campus,Joy-Demo,modern rock,1xdZaE5JUFVtMPzanJaIJE,0.608,0.508,0.0387,0.273,0.416,0.383,,
